"","X","V1","InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country","totRev"
"19",19,234,536392,"22150","3 STRIPEY MICE FELTCRAFT",6,"12/1/2010 10:29",1.95,13705,"United Kingdom",11.7
"20",20,235,536392,"22619","SET OF 6 SOLDIER SKITTLES",4,"12/1/2010 10:29",3.75,13705,"United Kingdom",15
"21",21,236,536392,"21891","TRADITIONAL WOODEN SKIPPING ROPE",12,"12/1/2010 10:29",1.25,13705,"United Kingdom",15
"22",22,237,536392,"21889","WOODEN BOX OF DOMINOES",12,"12/1/2010 10:29",1.25,13705,"United Kingdom",15
"23",23,238,536392,"22827","RUSTIC  SEVENTEEN DRAWER SIDEBOARD",1,"12/1/2010 10:29",165,13705,"United Kingdom",165
"24",24,239,536392,"22127","PARTY CONES CARNIVAL ASSORTED",12,"12/1/2010 10:29",1.25,13705,"United Kingdom",15
"25",25,240,536392,"22128","PARTY CONES CANDY ASSORTED",12,"12/1/2010 10:29",1.25,13705,"United Kingdom",15
"26",26,241,536392,"22502","PICNIC BASKET WICKER SMALL",4,"12/1/2010 10:29",5.95,13705,"United Kingdom",23.8
"27",27,242,536392,"84879","ASSORTED COLOUR BIRD ORNAMENT",16,"12/1/2010 10:29",1.69,13705,"United Kingdom",27.04
"28",28,243,536392,"22338","STAR DECORATION PAINTED ZINC",24,"12/1/2010 10:29",0.65,13705,"United Kingdom",15.6
"733",733,2611,536681,"84406B","CREAM CUPID HEARTS COAT HANGER",1,"12/2/2010 12:22",3.25,17287,"United Kingdom",3.25
"734",734,2612,536681,"22294","HEART FILIGREE DOVE  SMALL",10,"12/2/2010 12:22",1.25,17287,"United Kingdom",12.5
"735",735,2613,536681,"22295","HEART FILIGREE DOVE LARGE",6,"12/2/2010 12:22",1.65,17287,"United Kingdom",9.9
"736",736,2614,536681,"22906","12 MESSAGE CARDS WITH ENVELOPES",1,"12/2/2010 12:22",1.65,17287,"United Kingdom",1.65
"737",737,2615,536681,"22988","SOLDIERS EGG CUP",1,"12/2/2010 12:22",1.25,17287,"United Kingdom",1.25
"738",738,2616,536681,"84879","ASSORTED COLOUR BIRD ORNAMENT",8,"12/2/2010 12:22",1.69,17287,"United Kingdom",13.52
"739",739,2617,536681,"22423","REGENCY CAKESTAND 3 TIER",3,"12/2/2010 12:22",12.75,17287,"United Kingdom",38.25
"740",740,2618,536681,"22633","HAND WARMER UNION JACK",2,"12/2/2010 12:22",2.1,17287,"United Kingdom",4.2
"741",741,2619,536681,"22867","HAND WARMER BIRD DESIGN",1,"12/2/2010 12:22",2.1,17287,"United Kingdom",2.1
"742",742,2620,536681,"22866","HAND WARMER SCOTTY DOG DESIGN",1,"12/2/2010 12:22",2.1,17287,"United Kingdom",2.1
"743",743,2621,536681,"21586","KINGS CHOICE GIANT TUBE MATCHES",3,"12/2/2010 12:22",2.55,17287,"United Kingdom",7.65
"744",744,2622,536681,"21584","RETROSPOT SMALL TUBE MATCHES",6,"12/2/2010 12:22",1.65,17287,"United Kingdom",9.9
"745",745,2623,536681,"21588","RETROSPOT GIANT TUBE MATCHES",3,"12/2/2010 12:22",2.55,17287,"United Kingdom",7.65
"1228",1228,4703,536987,"90128B","BLUE LEAVES AND BEADS PHONE CHARM",1,"12/3/2010 14:54",1.25,17198,"United Kingdom",1.25
