"","X1","txn_id","customer_id","trans_date","tran_amount"
"1",1,1,"CS5295","11-Feb-13",35
"2",2,2,"CS4768","15-Mar-15",39
"3",3,3,"CS2122","26-Feb-13",52
"4",4,4,"CS1217","16-Nov-11",99
"5",5,5,"CS1850","20-Nov-13",78
"6",6,6,"CS5539","26-Mar-14",81
"7",7,7,"CS2724","06-Feb-12",93
"8",8,8,"CS5902","30-Jan-15",89
"9",9,9,"CS6040","08-Jan-13",76
"10",10,10,"CS3802","20-Aug-13",75
"11",11,11,"CS3494","02-Jul-13",94
"12",12,12,"CS3780","25-Mar-13",80
"13",13,13,"CS1171","03-Nov-12",59
"14",14,14,"CS2892","12-May-13",43
"15",15,15,"CS5552","29-Dec-14",78
"16",16,16,"CS6043","15-Jan-14",98
"17",17,17,"CS4147","08-Jul-13",81
"18",18,18,"CS4655","30-Dec-13",93
"19",19,19,"CS3904","20-Jul-14",103
"20",20,20,"CS4102","09-Jul-11",96
"21",21,21,"CS2086","05-Mar-13",75
"22",22,22,"CS6085","09-Jan-13",49
"23",23,23,"CS1328","06-Feb-13",54
"24",24,24,"CS4564","27-Mar-12",48
"25",25,25,"CS5910","01-Jan-12",98
"26",26,26,"CS2748","23-Mar-13",37
"27",27,27,"CS5147","29-Apr-13",72
"28",28,28,"CS1770","02-Nov-12",83
"29",29,29,"CS3510","24-Oct-11",81
"30",30,30,"CS2509","05-Dec-11",105
"31",31,31,"CS2859","27-Feb-15",77
"32",32,32,"CS1512","21-Feb-15",71
"33",33,33,"CS4148","22-Aug-13",48
"34",34,34,"CS1735","31-Mar-12",70
"35",35,35,"CS1588","27-Jan-12",70
"36",36,36,"CS5514","09-Jan-13",36
"37",37,37,"CS5933","07-Oct-13",48
"38",38,38,"CS2797","06-Mar-14",87
"39",39,39,"CS5313","02-Dec-12",88
"40",40,40,"CS5966","09-Mar-12",39
"41",41,41,"CS5211","18-May-14",51
"42",42,42,"CS1511","13-Jan-15",47
"43",43,43,"CS6087","24-Nov-14",37
"44",44,44,"CS5909","04-Feb-12",80
"45",45,45,"CS2845","08-Mar-13",105
"46",46,46,"CS1433","05-Nov-12",78
"47",47,47,"CS4897","12-Apr-14",45
"48",48,48,"CS2296","28-Dec-12",79
"49",49,49,"CS1494","29-Jun-13",59
"50",50,50,"CS3688","19-Jun-14",55
"51",51,51,"CS2287","23-Dec-11",94
"52",52,52,"CS3779","26-Jun-11",69
"53",53,53,"CS1423","05-Jun-14",78
"54",54,54,"CS2501","14-Nov-12",59
"55",55,55,"CS3434","22-Feb-13",98
"56",56,56,"CS2662","31-Aug-14",88
"57",57,57,"CS2209","12-Mar-12",35
"58",58,58,"CS4530","05-Jun-11",40
"59",59,59,"CS2848","04-Feb-13",53
"60",60,60,"CS2596","19-Sep-11",55
"61",61,61,"CS4421","20-May-12",86
"62",62,62,"CS4905","13-Apr-12",93
"63",63,63,"CS5704","04-Dec-11",79
"64",64,64,"CS2403","27-Jul-14",94
"65",65,65,"CS5480","28-Jan-12",63
"66",66,66,"CS5811","23-Aug-13",91
"67",67,67,"CS2051","09-Dec-14",101
"68",68,68,"CS3957","30-Aug-12",69
"69",69,69,"CS4704","25-Nov-14",41
"70",70,70,"CS2289","19-May-12",67
"71",71,71,"CS5218","21-Jun-14",45
"72",72,72,"CS4637","20-May-11",71
"73",73,73,"CS3158","06-May-12",91
"74",74,74,"CS4176","30-Jul-12",49
"75",75,75,"CS1939","25-Nov-11",101
"76",76,76,"CS5403","01-Dec-11",64
"77",77,77,"CS5489","02-Dec-14",77
"78",78,78,"CS4563","30-May-11",101
"79",79,79,"CS3508","23-May-12",67
"80",80,80,"CS2703","12-Oct-14",40
"81",81,81,"CS2596","01-May-13",76
"82",82,82,"CS5990","19-Oct-12",103
"83",83,83,"CS4215","09-Jul-11",54
"84",84,84,"CS4811","26-Jan-12",77
"85",85,85,"CS2070","30-Jan-13",41
"86",86,86,"CS3419","29-Jan-15",38
"87",87,87,"CS3668","14-Aug-14",102
"88",88,88,"CS4623","27-Sep-13",89
"89",89,89,"CS4708","02-Jul-13",48
"90",90,90,"CS1816","22-Sep-13",64
"91",91,91,"CS5376","08-Dec-13",44
"92",92,92,"CS4568","15-Nov-11",70
"93",93,93,"CS1779","27-Jan-12",53
"94",94,94,"CS2447","10-Jul-11",82
"95",95,95,"CS1985","16-Aug-11",87
"96",96,96,"CS2544","07-Nov-11",64
"97",97,97,"CS2158","11-Sep-12",89
"98",98,98,"CS5776","09-Sep-14",87
"99",99,99,"CS5653","04-Sep-13",98
"100",100,100,"CS2291","15-Oct-14",67
"101",101,101,"CS6088","29-Oct-12",48
"102",102,102,"CS4245","02-Jun-14",102
"103",103,103,"CS3344","02-Jul-14",56
"104",104,104,"CS1481","23-Dec-13",50
"105",105,105,"CS5400","23-Dec-11",56
"106",106,106,"CS5463","27-Aug-14",91
"107",107,107,"CS5951","07-Aug-14",104
"108",108,108,"CS5515","19-Feb-12",41
"109",109,109,"CS3039","01-May-12",92
"110",110,110,"CS1836","24-Mar-12",63
"111",111,111,"CS4320","09-Apr-14",52
"112",112,112,"CS4889","01-Dec-11",38
"113",113,113,"CS1319","26-Sep-11",95
"114",114,114,"CS4859","07-Jan-15",50
"115",115,115,"CS4148","08-Feb-14",40
"116",116,116,"CS5264","03-Apr-13",81
"117",117,117,"CS4041","29-Dec-14",49
"118",118,118,"CS2183","04-Jan-13",39
"119",119,119,"CS2516","15-Feb-15",55
"120",120,120,"CS1890","03-Nov-12",37
"121",121,121,"CS3730","11-Feb-13",89
"122",122,122,"CS5382","07-Mar-13",48
"123",123,123,"CS5970","13-Jun-14",40
"124",124,124,"CS5260","30-Jan-15",46
"125",125,125,"CS2437","13-Nov-11",90
"126",126,126,"CS4675","11-Sep-11",67
"127",127,127,"CS2920","11-Oct-11",87
"128",128,128,"CS2548","28-Sep-13",73
"129",129,129,"CS1818","26-Dec-11",46
"130",130,130,"CS6098","28-Sep-12",42
"131",131,131,"CS2712","26-Dec-11",65
"132",132,132,"CS2714","14-Dec-11",69
"133",133,133,"CS2615","17-Aug-13",39
"134",134,134,"CS5445","27-Jul-14",72
"135",135,135,"CS5812","02-Nov-14",62
"136",136,136,"CS4636","22-Sep-13",66
"137",137,137,"CS3147","04-Jun-14",84
"138",138,138,"CS1273","01-Feb-12",91
"139",139,139,"CS4243","11-Nov-11",48
"140",140,140,"CS2357","13-Apr-12",71
"141",141,141,"CS1776","03-May-14",79
"142",142,142,"CS5643","02-Mar-13",104
"143",143,143,"CS4522","06-Mar-15",82
"144",144,144,"CS2418","01-Feb-15",51
"145",145,145,"CS1330","21-Nov-14",41
"146",146,146,"CS1195","29-Dec-14",83
"147",147,147,"CS4306","07-Mar-15",54
"148",148,148,"CS2137","29-Sep-13",73
"149",149,149,"CS3518","19-Jun-13",54
"150",150,150,"CS5835","18-Sep-11",52
"151",151,151,"CS4701","15-Jan-15",95
"152",152,152,"CS4548","28-Jun-12",38
"153",153,153,"CS2384","15-Oct-12",35
"154",154,154,"CS4081","17-Feb-13",74
"155",155,155,"CS5976","02-Jan-12",99
"156",156,156,"CS3874","08-Sep-11",44
"157",157,157,"CS5356","17-Jun-14",105
"158",158,158,"CS4667","17-Sep-14",66
"159",159,159,"CS4328","04-Jun-12",56
"160",160,160,"CS3291","02-Aug-13",42
"161",161,161,"CS4282","11-Sep-11",44
"162",162,162,"CS4331","25-Sep-11",70
"163",163,163,"CS1243","17-Mar-13",36
"164",164,164,"CS2390","20-May-14",104
"165",165,165,"CS2207","05-Apr-14",71
"166",166,166,"CS1270","18-Nov-11",104
"167",167,167,"CS1219","11-Nov-14",91
"168",168,168,"CS5427","13-Nov-12",96
"169",169,169,"CS5474","18-May-11",69
"170",170,170,"CS5109","23-May-12",92
"171",171,171,"CS5287","14-Mar-15",94
"172",172,172,"CS3477","05-May-13",80
"173",173,173,"CS3970","13-Dec-11",86
"174",174,174,"CS5760","08-Dec-11",59
"175",175,175,"CS2149","04-Apr-13",83
"176",176,176,"CS4934","19-Jul-14",80
"177",177,177,"CS1517","18-Oct-13",89
"178",178,178,"CS1641","29-Dec-12",64
"179",179,179,"CS2187","19-Nov-11",70
"180",180,180,"CS5359","12-Aug-14",96
"181",181,181,"CS3124","08-Dec-11",71
"182",182,182,"CS1721","30-Aug-12",96
"183",183,183,"CS5212","22-Jan-15",42
"184",184,184,"CS5111","23-Aug-11",81
"185",185,185,"CS3137","04-Apr-12",67
"186",186,186,"CS1511","25-Jan-15",69
"187",187,187,"CS2509","23-Feb-14",92
"188",188,188,"CS5994","11-Jan-14",42
"189",189,189,"CS2613","25-Aug-13",103
"190",190,190,"CS1934","18-Aug-14",89
"191",191,191,"CS3127","02-Oct-11",39
"192",192,192,"CS5225","18-Mar-14",104
"193",193,193,"CS1815","17-Nov-12",83
"194",194,194,"CS3552","27-Apr-14",102
"195",195,195,"CS1893","17-Nov-13",42
"196",196,196,"CS3621","26-Oct-13",56
"197",197,197,"CS4330","17-Jul-13",59
"198",198,198,"CS4991","20-Jul-13",90
"199",199,199,"CS2312","22-Oct-13",37
"200",200,200,"CS2359","04-Jun-12",90
"201",201,201,"CS4798","06-Dec-12",84
"202",202,202,"CS2507","28-Jun-12",94
"203",203,203,"CS1430","02-Sep-14",71
"204",204,204,"CS3787","23-Oct-13",48
"205",205,205,"CS4103","14-Apr-13",89
"206",206,206,"CS2881","24-Sep-12",54
"207",207,207,"CS1854","29-Sep-11",74
"208",208,208,"CS2863","23-Dec-12",102
"209",209,209,"CS5292","04-Sep-13",64
"210",210,210,"CS3184","07-Jan-12",88
"211",211,211,"CS2049","07-Oct-13",66
"212",212,212,"CS2832","16-Jul-13",105
"213",213,213,"CS2251","12-Apr-13",99
"214",214,214,"CS5667","25-Feb-14",66
"215",215,215,"CS1327","19-Feb-12",38
"216",216,216,"CS4927","12-Aug-13",37
"217",217,217,"CS2302","09-Sep-12",100
"218",218,218,"CS3901","11-Sep-12",82
"219",219,219,"CS5762","21-Apr-13",85
"220",220,220,"CS2289","13-Mar-12",89
"221",221,221,"CS2867","09-Feb-12",56
"222",222,222,"CS2359","10-Aug-14",87
"223",223,223,"CS5814","12-Dec-11",72
"224",224,224,"CS5129","21-Jun-11",102
"225",225,225,"CS2597","03-Jun-12",42
"226",226,226,"CS5838","01-Sep-12",96
"227",227,227,"CS5800","23-Apr-12",86
"228",228,228,"CS3786","16-Jul-13",66
"229",229,229,"CS3659","19-May-12",77
"230",230,230,"CS4400","03-Sep-11",97
"231",231,231,"CS3026","03-Jun-12",55
"232",232,232,"CS3632","10-Feb-13",72
"233",233,233,"CS1452","23-Mar-12",79
"234",234,234,"CS5140","11-Jul-14",97
"235",235,235,"CS5383","29-Dec-13",73
"236",236,236,"CS4695","17-Sep-13",48
"237",237,237,"CS2368","10-Aug-12",66
"238",238,238,"CS2066","15-Jul-11",51
"239",239,239,"CS5277","12-Jul-11",90
"240",240,240,"CS3025","30-Dec-11",72
"241",241,241,"CS4802","25-Jun-11",45
"242",242,242,"CS6001","16-Feb-14",63
"243",243,243,"CS3981","20-Sep-14",74
"244",244,244,"CS3885","29-Apr-14",56
"245",245,245,"CS5546","28-Aug-12",79
"246",246,246,"CS4964","20-May-14",79
"247",247,247,"CS4881","21-Jan-14",55
"248",248,248,"CS4103","02-Mar-14",40
"249",249,249,"CS5884","19-Dec-12",97
"250",250,250,"CS2765","18-Apr-13",88
"251",251,251,"CS4438","05-Jul-14",72
"252",252,252,"CS2234","21-Dec-14",36
"253",253,253,"CS3015","30-Jan-14",58
